,text,c_label
0,"Yeah, I didn't believe it until I created a console app - but good lord!  Why would they give you the rope to hang yourself!  I hated that about VB.NET - the OrElse and AndAlso keywords!",False
1,It will help if you give some details of which database you are using as techniques vary.,False
2,infact it does. Look a the first lines of your concat code. The problem with concat is that it always generates a new String(),False
3,"""Currently + is implemented using StringBuffer""
False

It's StringBuilder. 

StringBuffer is the threadsafe impl of StringBuilder.",False
4,That code will fail as .Distinct() returns an IEnumerable<T>. You have to add .ToList() to it.,False
5,I don't think that's the magic number he was refering to,False
6,"It's still very useful to know that magic numbers may refer to more than simply a code issue.

-Adam",False
7,"This implementation is also nice if you wish to remove characters that look the same such as ""l"" and ""1"", ""O"" and ""0"". This is worthwhile when generating new passwords for users.",False
8,"That's not full text searching, it's searching the logs and filenames.",False
9,"That's not full text searching, it's searching the logs and filenames.",False
10,"In vim you can open > 1 buffer. :e filename. Then :bn and :bp go to the next and previous buffers. I have TAB mapped to :bn in normal mode, works wonderfully. Also :split, ctrl-w to change windows... Vim does all of that.",False
11,"Sure, but what about a solution using O(1) memory?",False
12,"It can also be helpful to name the foreign key constraint.  This helps with troubleshooting fk violations.  For example:

""foreign key fk_questionbank_exams ( question_exam_id ) references exams (exam_id)""",False
13,"To add to this: You can also use partial classes in seperate files to manage your code a bit better. Put the inner class in a seperate file (SortedMap.TreeNode.cs in this case). This should keep your code clean, while also keeping your code seperated :)",False
14,"I think this attitude (that theoretical questions have no bearing on a pragmatic forum) is harmful and obsolete. 

Pragmatic approaches should be open to new technologies, because those technologies can likely improve daily activities in the near future.  eg: functional features in c#/python.",False
15,Oh my god.  Is that the standard?  That's terrible!,True
16,Label/Textbox pairs should use the <label> tag.  With a little work  _{display:block;float:left;}_ you can style all the labels in a field set to have the desired width.,False
17,Wow! Thanks. Didn't realize that jQuery abstracted that so well. You rock! I would think it would still have the difference between (this) and (event.target) -- being object you bound the event to vs. the object that received the event.,False
18,"This is basically how the undo engine in Cocoa, NSUndoManager, works.",False
19,"The implication of this, is that union is much less performant as it must scan the result for duplicates",False
20,Your co-workers are going to hate you.,True
21,"There is never a reason to use CType(var, String) instead of CStr(var), they do exactly the same thing.",True
22,CLS compliance doesn't care about private field names.,False
23,"Yes, IFRAME is needed. You can't submit file uploads via AJAX (i.e. via the Javascript XMLHTTPRequest object) and just a normal form submit would prevent you from executing additional Javascript to poll the server for upload progress.",False
24,"A man, a plan, a canal, Panama",False
25,Your directory name is easily handled by reverse find though :).,False
26,Go hang a salami. I'm a lasagna hog.,False
27,This is a very difficult tool to install. I tried for about half an hour with no success. Any other suggestions?,False
28,"VERSION THAT WORKS WITHOUT JAVASCRIPT
How about if you did this with ASP, etc. and had a timestamp for when the form page was loaded and then compared that to the time when the form was submitted.  If ElapsedTime<10 sec then it's likely spam.",False
29,"This is not a good solution, as you never know when a garbage collect will happen, or how much extra memory will be allocated to the heap at once.",False
30,Perfect answer.  I hope others add to it.,False
31,"Daren, LINQ to SQL will be transformed to SQL query. Dictionary will be useful when iterating over objects collection.",False
32,Why not just move the mouse 1 pixel as @Keng mentioned? This seems like it would drive the user nuts.,True
33,"Wow, that's confusing. It turns out that using ""git diff HEAD..branch"" shows all commits (x, y, z, c, d, e), but ""git log HEAD..branch"" does exactly what I want and only shows x, y, z! This is the exact opposite of using ""..."".",False
34,"Yes, CTRL-O and CTRL-I seem to take you back and forth where you've been, nice.",False
35,"This is going to be slower, as you instantiate an extra empty list unnecessarily.",False
36,"The multithreading issue is that strtok uses a global variable to keep track of where it is, so if you have two threads that each use strtok, you'll get undefined behavior.",False
37,"This isn't only applicable to C++, but to any language that provides both structs and classes.",False
38,"No, this is a valid question.  Java does not support ""true"" generics, with runtime type erasure and all, so these kinds of details can be tricky.  Furthermore, the Cloneable interface and the Object.clone() method mechanism is similarly confusing.",False
39,"This will work fine for Strings (which is what the question asked for), but it is worth noting that ArrayList.clone will perform a shallow copy, so if there were mutable objects in the list, they will not be cloned (and changing one in one list will change that one in the other list as well.",False
40,I would disagree with the 'This includes pretty much every web site ever created.' comment.  If the website are high load you are correct.  Trac for instance uses SQLite by default and performs very nicely out of the box for small teams.,False
41,One could argue that relying on your logic code to run a function is obscure and your logic should be designed to not rely on that for clarity and maintainability.,False
42,"Don't forget the workaround for IE's ""friendly"" messages: http://tinyurl.com/app-offline-friendly",False
43,"JUnit can do the grouping thing you are talking about by defining a test suite and then adding the tests in the desired group to that suite.  You can then set up a target in your ant script that only runs that suite, and set up your source control to run that target upon checkin.",False
44,"@RichB, I'm using MySpace just for the sake of its sheer traffic, and nothing else :p Get some cough syrup!",False
45,I would also suggest Douglas Crockford's site as a resource on private / public methods and members http://javascript.crockford.com/private.html,False
46,He mentioned that link in the question.,False
47,"The downside to this method is that you couldn't have private_stuff() access other private data in Restaurant and other Restaurant methods can't call private_stuff().
The upside is that if you don't need either of the conditions I just mentioned, you can keep use_restroom() in the prototype.",False
48,"Do not use ""T"" strings, chars and functions, unless you intend to do both Unicode and ANSI builds. If you only intend to do Unicode builds, just do regular wide character stuff:

L""my wide string""
wcslen(L""my string"")

etc",False
49,"Django does _not_ use sqlalchemy for it's ORM.  There has been some work done to make sqlalchemy an optional ORM, but it's not complete.",False
50,Didn't know that the Framework has such a method! Awesome! Will swap out my current code for this!,False
51,It has been encouraged by Jeff to answer ones own questions. This is not only a query platform but a platform to find answers. Who they are coming from - who cares. Well done.,False
52,"A pirate walks into a bar, and the bartender says ""Excuse me, cap'n, but how did you get a ship's wheel stuck to your crotch?"" ""I don't know,"" says the pirate, ""but it's drivin' me nuts!""",False
53,"Don't forget about generators/coroutines, which makes writing iterators (and simulations) a whole lot easier.",False
54,"`git diff HEAD..branch` is identical to `git diff HEAD branch`. The key thing to remember here is that log takes a list/range of revisions, while diff doesn't. That's why they treat their args differently.",False
